DW_CLIENTE;customerkey;address_number;business_family;business_unit;customer;customer_type;division;line_of_business;phone;region_code;regional_sales_mgr;search_type
1afd9ceaa9174e61f00df9a6e7f14612e61c368c40baddb0eeb7a540626b9198;10010970;10010970;R3;1;EDP Shop;G2;2;\"\";816-455-8733;2;S1;C
3e15e82a3ba04c4b3c23eea17f1786a1e1bf6accb40423887899c2307f33171e;10021184;10021184;R3;1;Pacific Supermarket;G2;2;\"\";816-455-8733;1;S16;C
01df89f0b17001ef03d320d62ea13e7dc1371e2fd0e829598dabafe16c0d9ec2;10021242;"";R3;1;Page Store;G3;1;\"\";816-455-8733;5;S17;C
f70988b2767282e628754fe7f87725f4bb62b5df66d05457644d2b4a9673a604;10021494;"";R3;1;Paraclipse Shop;G2;1;\"\";816-455-8733;5;S1;C
5fb2e54a8cd595313c6eec8fe0bf8d3059176848152d18a9799d4b6e2d7e8915;10025353;"";R2;1;Total Store;G2;1;\"\";816-455-8733;5;S5;I
4c4300fa2f236a12be091980159fb80b29b266f2d2368ee93aa92262646de077;10021412;10021412;R4;1;Panngea Shop;G2;2;\"\";816-455-8733;1;S18;C
8aebb4719177e05c5c082b39bbae7cc12584f3e494ae963b8823dc55f5ca2a96;10024942;"";R3;1;Tag Supermarket;G2;1;\"\";816-455-8733;5;S1;C
5a3a439fa957c5a70de7bdc93ee36921f607a586475b80c84617bd13d102c914;10009863;10009863;R3;1;Deere Store;G1;1;M1;816-455-8733;5;S19;C
3ac074dcb1c1d3fabae0d633c86048c64f7c37521a8e3a16e4a0911bb46f7be4;10017314;10017314;R3;1;Idyllwild Shop;G2;2;\"\";816-455-8733;2;S14;C
31a557deb44983e0cfb3789b4785b5b2693f6e2a25907f948dac75acef6e3a58;10024246;10024246;R3;1;Siemens Supermarket;G2;2;\"\";816-455-8733;3;S16;C
e7f31a34fe382f9674ae9de965b25b3890cdb30a3589b6d31906b9a8a6e6dab5;10000501;"";R3;1;Absolute Supermarket;G3;1;\"\";816-455-8733;5;S5;C
88af132648575a51ac78afe2b853b9bc79f564158d63a73a04b7234cf6745521;10010974;10010974;R2;1;EDS Shop;G2;2;\"\";816-455-8733;4;S9;C
b52b5466599b540352bde890ca604a80d9c1918b00a32f60ac209bf9ebd1a238;10022755;10022755;R3;1;Real Supermarket;G1;1;M1;816-455-8733;5;S19;C
6e409b191beab9d66684906402dcc02c30a642464505dcf85a2503f1a6b395da;10008602;10008602;R3;1;Caprica Supermarket;G2;2;\"\";816-455-8733;3;S1;C
db6c0629b0b7b48ade0555e744e8db8aceebdd7f16e3c3ae302ea41421d477d4;10007355;10007355;R3;1;CAF Market;G2;2;\"\";816-455-8733;2;S16;C
cb98929ed9e931fe010e7eeb4ad3cba8a5fccc04d8d12ef5a6740543e3d52bc7;10022746;10022746;R3;1;Rdlabs Shop;G1;1;M1;816-455-8733;5;S19;C
dd7853d4dfbd5ff35f97ef319ceb23ecb09fe66d4c25c5bc05617dffce3bdbc5;10022240;10022240;R3;1;Quantum Supermarket;G3;1;\"\";816-455-8733;0;S5;C
3937d8b3a57de6cd15133ecde27c2877592d0ff7400c4031ebed57e47ccf0459;10024009;10024009;R2;1;Scottish Supermarket;G2;2;\"\";816-455-8733;2;S2;C
818558499677b050bec95e07431dfc1f6132243653ba810c58ae2ac24a8f3054;10009653;10009653;R2;1;DCP Supermarket;G3;1;\"\";816-455-8733;0;S8;C
42c0cef9987735c0d3976755d2949ab662be148d0500861725e94413ddb22f18;10025023;10025023;R3;1;TAL Store;G3;1;\"\";816-455-8733;0;S5;C
7395cd77343a3a9e9a24d4ffaa4e4b89c24a2da8ea8cbe6457c6f6281b49f832;10023715;10023715;R3;1;Diss Gigastore;G2;2;M1;816-455-8733;4;S16;C
ae27f9f01c5a438194a8cba0ba1e316ff6d65ef429b5ed63d0f9552173ee3fa6;10011198;10011198;R3;1;e-MDs Shop;G2;2;\"\";816-455-8733;3;S1;C
d4ad6605306834f6ee630a70c92823ac8e87583a72e2661b6851d89bb7504acc;10021485;10021485;R1;1;Paracel Gigaplace;G2;2;\"\";816-455-8733;4;S22;C
713741bd1a29465e58a80e6ceddee7e38f8c32b0beffe8c9d07f48e60fed7948;10002155;"";R3;1;ACES Supermarket;G1;1;M1;816-455-8733;5;S18;C
a37dbe18f2c81e7606ed09ea51c47c20199a07641179b083cc108dc4b4f72c11;10024880;"";R3;1;Sun Supermarket;G3;1;\"\";816-455-8733;5;S8;C
5614fa27c24090714b303749a3c8fea29df79145982997e1a945201991b73c03;10027119;10027119;R3;1;Yurie Market;G2;1;\"\";816-455-8733;5;S16;C
048bb393886b652c563d443a0dd0e574cd420553223e76e55e98f0c0a0851c50;10009985;10009985;R3;1;E Supermarket;G2;2;M1;816-455-8733;1;S16;C
a8ffa89c36591b36a8d5f015d0c3cafbe8eac419a1291f3357443b58e9d9bd32;10018871;10018871;O2;1;Karsings;G2;2;\"\";816-455-8733;4;S12;C
018d44d1d766e97960cdd363f22b6fbb4c40798f9fdade92e85d42c26924fee1;10007536;"";R2;1;Calypso Maxi Store;G2;1;\"\";816-455-8733;5;S5;C
7f65dff76464c9f8813eba71a6828f0048fb2ee09b773781b8224c6adc5d8868;10013252;10013252;O2;1;Gate Shop;G2;2;\"\";816-455-8733;2;S12;C
db66f74e54ec81cfd1de495eb41cd3332b0ac60d1f4ed8bec2ca9b57e1b99541;10013238;10013238;R1;1;Gastown Store;G2;2;\"\";816-455-8733;4;S11;C
2c8fb1e387e83e7ba649d917f9ddbea9a603f163837b36510f99a8dc72b9459b;10009639;10009639;R3;1;Data Supermarket;G1;1;M1;816-455-8733;5;S19;C
2d9b02fe88e1b74ff644ba36d60056f55b789e82390038f16642ba6b961675b3;10003857;"";R3;1;Beckman Market;G2;1;\"\";816-455-8733;5;S1;C
5535d2486fdb59275f0a2fe2c6aa18e7a696c853f0cdc5fdf34f3aa3960a6ca8;10013574;"";R3;1;Gebbie Store;G2;1;\"\";816-455-8733;5;S16;C
dfb89c6f71aaf23bd65efccd52320d44cd529d936d40781a5cf438013378a19a;10013397;"";R3;1;G-Com Supermarket;G2;1;\"\";816-455-8733;5;S9;C
834af7445ad6700b9db693017c4ff12193f84fbee6bc8530a1c4c02f4c5e6b2c;10016549;10016549;R3;1;Home Store;G2;2;\"\";816-455-8733;2;S16;C
f8d148df0b8533b18d6ff8e0dad12386e19e87f420f30153e7c37ccdca93e11d;10007564;10007564;R2;1;CAM Market;G2;2;\"\";816-455-8733;2;S1;C
9198de2fe7e55670f31125599988aef1294248c22d96d1a176d42d6d3e03b17e;10012226;10012226;R3;1;Fills;G2;2;\"\";816-455-8733;4;S13;C
85a5dcacf335b5c1482027fdec6b579c2de5ac34f49fedcb34c15723fd5c45d7;10002154;"";R2;1;Acer Superstore;G3;1;\"\";816-455-8733;5;S8;C
f101696f09c0c0788814944b0567e1b5800f97fc2244633626afa02100c5ca6d;10000478;10000478;R3;1;Abacus Market;G2;2;\"\";816-455-8733;2;S16;C
97cff57acaa9ea62492240c127c095b21bc8cb029c77922059a9e56cb30ee480;10022166;"";R3;1;QualityLogic Shop;G2;1;\"\";816-455-8733;5;S11;I
00a3c761ca95b4daab22cb35508c89701cd722d6512422a39a159b88089518fd;10023023;10023023;R1;1;Crew Superstore;G2;2;\"\";816-455-8733;4;S20;C
604e12c71caa214eb71df0efda8340f024346d7b06b50a48a216313c542c877e;10022732;10022732;R2;1;RC Market;G2;2;\"\";816-455-8733;2;S5;C
c603d593daa75cc30ffbf9aa5aaefbef790b04b9e9e62dc25b20c5ea59e8868d;10020849;"";R3;1;OnDeck Store;G2;1;\"\";816-455-8733;5;S1;C
6f960dfacff29d5b17a12462ce4f0bfbe0809c2e925d28e5c4d66ef311dd62cf;10001786;"";R3;1;Acara Shop;G2;1;\"\";816-455-8733;5;S16;C
52954ac7e339062960e348253d6e0fa6320c0f2ae8f2abbccf601fba6cec38c3;10006919;"";R3;1;Hoovey SuperStore;G1;1;M1;816-455-8733;5;S19;C
193c81f322ae5f78075dda02e17da1bcc5ef19636a119ff5cb52c0e63807f736;10016303;10016303;R1;1;HMR Shop;G2;2;\"\";816-455-8733;3;S20;C
78a90ab0ef790b3174723c925188c0d32d1344d9fbbd6904a6dcbc290c98b04d;10021418;10021418;R3;1;Panzl Shop;G2;2;\"\";816-455-8733;1;S1;C
f42315cb0e5b310de4750151b5adfa1f2e2cd99c7d0f73bfacb7afa3b3d71e42;10015956;"";R3;1;Hidden Market;G2;1;\"\";816-455-8733;5;S9;C
39c6c525dcf3adb78ac7ad1258a2c3f1fbabd0a156c1a759ecbe8101b6b7b485;10023471;10023471;R3;1;Road Warriors;G2;2;\"\";816-455-8733;2;S16;C
969c0bff4af89de6c1dbe32bf13af2657fc976ae06c3e0369926622ce89f9432;10013011;10013011;R3;1;Gamacles Shop;G1;1;M1;816-455-8733;5;S19;C
7a818c6018a0b6f62d89443829b63b044d6b1ad94b9cb80a2ba12db57994cbf5;10027348;10027348;R2;1;Zephyr Shop;G2;2;\"\";816-455-8733;2;S5;I
510eb2300e59809a305da068f3b275a6e9669e653191691b8d5f2ea1696420ff;10015793;10015793;R3;1;Hetrick Supermarket;G2;2;\"\";816-455-8733;1;S16;C
d944df649738a86584ef5d78cd8d3c1d95063a031faa7de4646b091f907b13e4;10007117;10007117;R3;1;Bre-X Shop;G1;1;M1;816-455-8733;5;S19;C
f719f550a94b4fde172853aaab72ffb2ef60fd9f7b9022bf36e77210fe79f61e;10020364;"";R3;1;Mersey Market;G2;1;\"\";816-455-8733;5;S16;C
a4322ef43ed7168aaab2677f87c604d474bd4f99f1c6adf32fd525984d002ec0;10004245;10004245;R2;1;Bens Megaplace;G2;2;\"\";816-455-8733;1;S3;C
874f1e8c707123abe2d55415e78c355ea0567e4e16cd5071b75500bcd5d9f22a;10003795;10003795;R3;1;Bechtel Supermarket;G2;2;\"\";816-455-8733;2;S16;C
