DW_TEMPO;invoice_date;Ano;Mes;Dia
875c0d6af62e84f8285545d058f29e7571b5521a6483c8241f808f981c495571;2018-02-05;2018;2;5
0627899603c7c65d46bd9b840973ce5d633ac0c0e16a195bff04ed5c11200e5d;2017-04-01;2017;4;1
7b05fb77d145096205f5c0fd4905296bdd56ebc17244d4d0f6dfc1e2ffe4bfa1;2018-02-25;2018;2;25
85fe39f79edc14aa911366ccad7e71e605f3cfd40752fe8ae74df2b6fd3c99a1;2018-11-07;2018;11;7
29f69100878e885e43cd0558d2a351d6f465f6843ecb78cb4cb04029b15a90e9;2017-09-02;2017;9;2
693f56ffbe802a05ddaffdc339291b9afd6ffd94253b389ff1d5d252009d6ff2;2019-02-18;2019;2;18
349008c8d2333226edcdaf3a3b6a1b5c8856ed858f55a49ff043c2b002648135;2017-05-26;2017;5;26
acb590ff6264de4c756f23ad08a0c3c5ee7c7b98fa614eb72a572dbf56d5371f;2018-04-22;2018;4;22
c5c6a4010af0dad47fd4af9e82b9e8ee0874f1de034b0bae4247b9dc96b48af1;2017-08-09;2017;8;9
4b67288d399e4b585984d710127f2fc63a0f6de3a2d8ef0064a678b770c675f2;2018-02-18;2018;2;18
c715c695264eadff7f0d678f1df3568aefa3d310dc8f05b0f963f3cac00b112f;2018-08-06;2018;8;6
8183a010bd9cb8500402a5b7de3b2279a3691877ffed8426b487bef40ac0270f;2018-01-05;2018;1;5
7907912463156980792a6f3b3565bd5a7c1a8a44b06f208b807d83cd9057dcd4;2017-09-08;2017;9;8
61969fd9df6c09211237b6e0dd2e16f8f65df5468a913094a68d0f691fd4516f;2018-01-02;2018;1;2
63792c9313ef44f11ccddd1b37934cb5480ed18978a563ed2b1588987ac26990;2017-10-21;2017;10;21
25b0069214b08edc0b9a20db3820ca5c8b7027752f766bd3659428081d93e5fd;2017-05-06;2017;5;6
d1b404f90d219d7f82a04068ba4390dec93d8248ed6480b8ecae54ae09667dfa;2017-12-22;2017;12;22
dcd7b841320d7db4618fe3a6ccb6ac243dfc62be2e5745b5ce97196b8023c5a1;2018-06-05;2018;6;5
c69164d4743873ed6c09da6e25436bfbfbae28c2559eb9659818dbdcc2d047c9;2017-09-01;2017;9;1
d65a76075bfa8438b6c8d05fda25a38694c689dd4020503a6ac59f7ebd4417c1;2017-01-19;2017;1;19
5cb4de6d2e11be9f5ebaf52ee164606edf4d7bc92e368cc1260c784836ea40fb;2018-08-07;2018;8;7
ed252c2541e77abd3f66f0b569035ad27be831c231f445f3f876179763132eb7;2018-01-03;2018;1;3
313afb03c22f7a29a5c35be6eddb4188ba54ded3b19e5d2d0b4780aa12875cea;2018-07-07;2018;7;7
9184b84f91235bbc226022b305481648d63445ddf3295d3f68c0ab16790dbc68;2019-01-09;2019;1;9
e7e7a620aee737c9f58955db94e552d339ec8b8d3e5e147da20528751a8885d0;2018-05-29;2018;5;29
d49b2a220c7c06755334ecfd7ec5d029f20e799a6d7eb07b5ca30eedde5aaa13;2018-10-31;2018;10;31
c2995dc4015ab5d786929771754bf7cd727e7938c54e2b0300883b33f7932ba1;2018-04-18;2018;4;18
fdf71367f6880fa9657615411729485165222cd165f8e962185dc81c1ade849a;2017-12-24;2017;12;24
54c6fe55b95c32ccdc1fa431cb6a0647d08ea4a1d3ed47414cb2c59cb58cd080;2017-08-17;2017;8;17
c83e4dcb7b229a473829375376811ede26b9e97171f2c0ba92adcc6f7daa2f25;2018-04-16;2018;4;16
37f397f189abf2f3567b396eb0d941a3d617d0bcdc30113c281943d771863adc;2019-02-06;2019;2;6
aea42cb02b110ad09025640e86ce0654ef2cd6515f8761e73e48844e69f0ae3d;2018-06-07;2018;6;7
1d4d59d6eae5904f2c3bf599eb600e6c4cf4c0bea1f732a83172455a356e6a28;2018-11-19;2018;11;19
5d45784883b4c19744b73974fa7aeceecfe8323fb9849a8a7aa499ce97102ab1;2017-06-03;2017;6;3
09c6f28892af2dd9222239be4168997dd0bb7419de3a708d4bd1cab15f1d2d0b;2018-05-23;2018;5;23
401a73e667159c09cdfa4897829f66fdf31fb4489a06e9c7d758a98239b7566a;2018-06-26;2018;6;26
35d74fdcc5fae490cd5154171671ca72262721a8088e6ed04a1256edb1b6ed38;2018-10-15;2018;10;15
964e4b4e11ed9ba742f66a28d72f1a1884e1902d922a082269ca505633fb9846;2017-11-02;2017;11;2
f506ce9f360a810cdc5c56f4a4d3b0305a6bce9c426b794ff68c2484767249af;2019-01-07;2019;1;7
f9ae041cd91c118430df83b0e389660038a135fd1919f510f5703caf5d374e46;2017-05-21;2017;5;21
90b1646045f24ab734bbca197e76d9e38a1ef5ea9707eecea2b3a13e64ee56d9;2019-03-14;2019;3;14
3d4779d7f9bd46da97145b2a5be7805c34edf707a43e3237c2e9199711cde0b0;2018-06-17;2018;6;17
64c2c7e30a8d7060bd30478bafcbbf8e07ad540f5eb84e887cd126f76b3d0e5d;2018-06-16;2018;6;16
e9ff4b404f8967a5df5bedaa8c3153bd6310a8bdae20bc21bcc69d14b8ac33a2;2018-08-15;2018;8;15
b97bef9b14ca4ff6b5296d533d52a369d72b609dfc34fa72a321cc2fd157ebdc;2018-07-15;2018;7;15
323b662e4670c07620768c659bed4ea6218bbb6f1f736c8af7762bf946fdcb31;2018-11-21;2018;11;21
37251396bfec595fec9920903f7b7510eba8557a4d6e173bda912a562c5e6890;2019-01-17;2019;1;17
210e657f087924337f60c8edc3924229d7c9ac454d38868d3b77f88f7d2f1176;2019-02-19;2019;2;19
0395bc7284d72cef4972692c2c10ddd49cb7357e754cad0d9012ddc3226ecb43;2019-03-04;2019;3;4
a5d844ea0904f725bc7ebdee25d3ff99808aa22f1a3771a31da328f307d4f3d4;2017-08-30;2017;8;30
1257a9792ce10ba5c65e70e1a96d1a15cbe6b304bd91603030957e71fba856f2;2018-01-10;2018;1;10
48552ef2242fab229731245915256f62cfe8500950b19a0a5e4fd8fd25adbae4;2017-07-22;2017;7;22
71f78bb8e378c9bfdb365802768c9bdea36915c99153f6c19b562c85aaf58726;2018-11-24;2018;11;24
c55398c9b39585c6af9cdfe3d9f64002709021b0072c38fbc0651915c267448e;2018-01-09;2018;1;9
a1e90fe66cf2ac01d07700db4a2d3ef7c11ebe5ca487c68e4b86d26563beade7;2018-08-27;2018;8;27
71319c81ca501680a6612b05867af04f269c05c0c9177b778da64fcb70e958aa;2018-03-26;2018;3;26
1865d0b7a4ea88ccfdc7d68945191fcdacbfc76f25e9a0882671d233a30792d6;2018-12-03;2018;12;3
7a112c13894f08c4c00f05477963f5cc3c5d26cc41e4c7d5e5846abdd9c3a9f9;2019-03-18;2019;3;18
04af1a82164bb2a42d767cf76deea8d062590693a31e17dda6821abf3ff65db4;2017-05-18;2017;5;18
670490897f9654c00f15bbe382dd979d2fa67341a052f180cb675c7a49f2a53a;2017-09-15;2017;9;15
842bbbc292d22052e10daab77cbee89abf50c2cf92cccfbb6aba4e047356035e;2018-06-30;2018;6;30
3c3475aba9add56ced3fd3d2de88b9313e7231e57bb1a7b116337406a21d4321;2019-02-05;2019;2;5
ab50d94c8172f233b751cda1cff65e980e659fc91fe23337de61566d47564a17;2018-02-08;2018;2;8
